id,pole,przed,po,notatka
2009_PL_demonstracja_NIEZNANY_a,typ,demonstracja,wiec,
1990_PL_festyn_SdRP,typ,festyn,spotkanie,
1990_PL_festyn_NIEZNANY,aktor,,Trybuna Ludu,
2005_PL_festyn_NIEZNANY,aktor,,Lewica_radykalna,
1996_PL_festyn_NIEZNANY,aktor,,Prezydent,
1997_PL_festyn_NIEZNANY,aktor,,Prezydent,
1998_PL_festyn_NIEZNANY,aktor,,Prezydent,
1999_PL_festyn_NIEZNANY,aktor,,Prezydent,
2000_PL_festyn_NIEZNANY,aktor,,Prezydent,
2001_PL_festyn_NIEZNANY,aktor,,Prezydent,
2002_PL_festyn_NIEZNANY,aktor,,Prezydent,
2003_PL_festyn_NIEZNANY,aktor,,Prezydent,
2004_PL_festyn_NIEZNANY,aktor,,Prezydent,
2005_PL_festyn_NIEZNANY_a,aktor,,Prezydent,
2019_PL_festyn_OPZZ,aktor,OPZZ,SLD/OPZZ,
1995_PL_kontra_UP,aktor,UP,UPR,
1999_PL_kontra_PPS,aktor,PPS,Liga Republikańska,
2000_PL_happening_NIEZNANY,aktor,,Liga Republikańska,typ: happening
2003_PL_kontra_NIEZNANY,aktor,,Prawica,
2007_PL_happening_NIEZNANY,aktor,,Forum Liberalne,typ: happening
2007_PL_kontra_NIEZNANY,aktor,,LPR,
2009_PL_festyn_SLD,aktor,SLD,Falanga,
2009_PL_festyn_SLD,typ,festyn,kontra,
2009_PL_kontra_NIEZNANY,aktor,,ONR,
2018_PL_kontra_NIEZNANY,aktor,,Obywatele RP,
1990_PL_kontra_NIEZNANY,aktor,,Prawica,
1991_PL_kontra_NIEZNANY,aktor,,Prawica,
1992_PL_kontra_NIEZNANY,aktor,,Prawica,
1993_PL_kontra_NIEZNANY,aktor,,Prawica,
1994_PL_kontra_NIEZNANY,aktor,,Prawica,
1995_PL_kontra_NIEZNANY,aktor,,Prawica,
1997_PL_kontra_NIEZNANY,aktor,,Prawica,
1998_PL_kontra_NIEZNANY,aktor,,Prawica,
1999_PL_kontra_NIEZNANY,aktor,,Prawica,
2000_PL_kontra_NIEZNANY,aktor,,Prawica,
2001_PL_kontra_NIEZNANY,aktor,,Prawica,
2002_PL_kontra_NIEZNANY,aktor,,"Koliber, Młodzież Wszechpolska, Organizacja Młodej Polski",
1990_PL_demonstracja_NIEZNANY,aktor,,Prawica,
1990_PL_demonstracja_NIEZNANY,typ,demonstracja,spotkanie,
2004_PL_demonstracja_NIEZNANY_a,aktor,,LPR,
2012_PL_demonstracja_NIEZNANY_a,aktor,,Autonomiczni nacjonaliści,
2013_PL_demonstracja_NIEZNANY_a,aktor,,Autonomiczni nacjonaliści,
2014_PL_demonstracja_NIEZNANY_a,aktor,,Autonomiczni nacjonaliści,
2014_PL_happening_NIEZNANY,aktor,,Ruch Narodowy,typ: happening
2015_PL_demonstracja_NIEZNANY_b,aktor,,Szturmowcy,
2016_PL_demonstracja_UP,aktor,UP,Szturmowcy,
2018_PL_demonstracja_NIEZNANY_b,aktor,,Szturmowcy,
2019_PL_demonstracja_NIEZNANY_a,aktor,,KORWiN,
1990_PL_wiec_Wizyta-Wojciecha-Jaruzelskiego-w-elektro,aktor,,Prezydent,
1990_PL_wiec_Wizyta-Wojciecha-Jaruzelskiego-w-elektro,typ,wiec,spotkanie,
1998_PL_wiec_Niebieska-Alternatywa-Kapitalizm-jest-li,aktor,,Młodzi demokraci,nowy typ: happening?
1998_PL_wiec_Niebieska-Alternatywa-Kapitalizm-jest-li,typ,wiec,happening,nowy typ: happening?
2012_PL_wiec_Kongres-za-ozycielski-partii-Palikota-Ko,aktor,,Ruch Palikota,
2012_PL_wiec_Kongres-za-ozycielski-partii-Palikota-Ko,typ,wiec,spotkanie,
2013_PL_festyn_NIEZNANY,aktor,,Prezydent,
2014_PL_festyn_NIEZNANY,aktor,,Prezydent,
2015_PL_festyn_NIEZNANY,aktor,,Prezydent,
2016_PL_festyn_NIEZNANY,aktor,,Muzeum Łazienki Królewskie,
2017_PL_festyn_NIEZNANY,aktor,,Muzeum Łazienki Królewskie,
2018_PL_festyn_NIEZNANY,aktor,,Muzeum Łazienki Królewskie,
2019_PL_festyn_NIEZNANY,aktor,,Muzeum Łazienki Królewskie,
2019_PL_festyn_NIEZNANY_a,aktor,,Miasto,
2019_PL_festyn_NIEZNANY_b,aktor,,Miasto,
1990_DE_wiec_Walpurgisnacht-Walpurgisnacht,typ,wiec,festyn,
1996_DE_wiec_Walpurgisnacht-Walpurgisnacht-at-Kollwitzplatz,typ,wiec,festyn,
1999_DE_wiec_Walpurgisnacht-Walpurginsnacht,typ,wiec,festyn,
2001_DE_wiec_Walpurgisnacht-Walpurgisnacht-Spontane-Street-Party,typ,wiec,festyn,
1998_DE_wiec_Walpurgisnacht-Freiheit-ist-immer-auch-die-Freiheit-des,typ,wiec,demonstracja,
1990_DE_demonstracja_PDS,aktor,PDS,East_Autonomen,
1992_DE_wiec_PDS,aktor,PDS,East_Autonomen,
1992_DE_wiec_PDS,typ,wiec,demonstracja,
1993_DE_wiec_PDS,aktor,PDS,East_Autonomen,
1993_DE_wiec_PDS,typ,wiec,demonstracja,
1992_DE_demonstracja_PDS_a,aktor,PDS,BKG,
2010_DE_demonstracja_NIEZNANY,aktor,,NPD,
1993_DE_kontra_Antifa,aktor,Antifa,Antinazi Berlin,
1994_DE_kontra_FAP,aktor,FAP,Antinazi Berlin,
2000_DE_festyn_NIEZNANY,aktor,,PDS_Antinazi,festyn w kontrze do nazistów
2002_DE_kontra_NIEZNANY,aktor,,Antinazi Berlin,
2002_DE_kontra_NIEZNANY_a,aktor,,Antinazi Berlin,
2003_DE_demonstracja_NIEZNANY,aktor,,Antinazi Berlin,
2003_DE_demonstracja_NIEZNANY,typ,demonstracja,kontra,
2004_DE_kontra_Antifa,aktor,Antifa,Antinazi Berlin,
2009_DE_kontra_SPD,aktor,SPD,Antinazi Berlin_SPD,
2010_DE_demonstracja_NIEZNANY_a,aktor,,Antinazi Berlin,
2010_DE_demonstracja_NIEZNANY_b,aktor,,Antinazi Berlin,
2010_DE_demonstracja_NIEZNANY_b,typ,demonstracja,kontra,
2010_DE_kontra_NPD,aktor,NPD,Antinazi Berlin,
2013_DE_demonstracja_NIEZNANY,aktor,,Antinazi Berlin,
2013_DE_demonstracja_NIEZNANY,typ,demonstracja,kontra,
2002_DE_kontra_NPD,aktor,NPD,Antinazi Berlin,
2015_DE_kontra_NPD,aktor,NPD,Antinazi Berlin,
2016_DE_wiec_NIEZNANY,aktor,,Antinazi Berlin,
2016_DE_wiec_NIEZNANY,typ,wiec,kontra,
2016_DE_wiec_NIEZNANY_a,aktor,,Antinazi Berlin,
2016_DE_wiec_NIEZNANY_a,typ,wiec,kontra,
2016_DE_wiec_NIEZNANY_b,aktor,,Antinazi Berlin,
2016_DE_wiec_NIEZNANY_b,typ,wiec,kontra,
2016_DE_wiec_NIEZNANY_c,aktor,,Antinazi Berlin,
2016_DE_wiec_NIEZNANY_c,typ,wiec,kontra,
2016_DE_wiec_Grune,aktor,Grüne,Antinazi Berlin,
2016_DE_wiec_Grune,typ,wiec,kontra,
2017_DE_wiec_NIEZNANY,aktor,,Antinazi Berlin,
2017_DE_wiec_NIEZNANY,typ,wiec,kontra,
1990_DE_demonstracja_DGB_a,aktor,DGB,IG Metall,
1991_DE_demonstracja_DGB_b,aktor,DGB,IG Metall,
1992_DE_demonstracja_DGB_b,aktor,DGB,IG Metall,
1994_DE_demonstracja_DGB,aktor,DGB,IG Metall,
1993_DE_demonstracja_DGB,aktor,DGB,IG Metall,
1996_DE_demonstracja_DGB,aktor,DGB,DGB Jugend,
1996_DE_demonstracja_DGB_c,aktor,DGB,IG Metall,
1997_DE_demonstracja_DGB_b,aktor,DGB,IG Metall,
1998_DE_demonstracja_DGB_a,aktor,DGB,IG Metall,
1999_DE_demonstracja_DGB_a,aktor,DGB,IG Metall,
2000_DE_demonstracja_DGB,aktor,DGB,IG Metall,
2001_DE_demonstracja_DGB,aktor,DGB,IG Metall,
1996_DE_demonstracja_DGB_d,aktor,DGB,ÖTV,
1997_DE_demonstracja_DGB_c,aktor,DGB,ÖTV,
1998_DE_demonstracja_DGB_b,aktor,DGB,ÖTV,
1999_DE_demonstracja_DGB_b,aktor,DGB,ÖTV,
2000_DE_demonstracja_DGB_a,aktor,DGB,ÖTV,
2001_DE_demonstracja_DGB_a,aktor,DGB,ÖTV,
2005_DE_demonstracja_DGB_a,typ,demonstracja,korso,
2006_DE_demonstracja_DGB_a,typ,demonstracja,korso,
2007_DE_demonstracja_DGB_a,typ,demonstracja,korso,
1994_DE_demonstracja_R1M_a,nazwa_wariantu,1994 KDB/RZ Demo,1994 KDB/RZ Demo,
2026_DE_wiec_b-Gorlitzer-Park-Free-Gorli-Rave-against,typ,wiec,festyn,
2026_DE_wiec_b-Treptower-Park-Puschkinallee-ganztagig,typ,wiec,festyn,
2014_DE_wiec_1st-of-May-Rave-Gorli,typ,wiec,festyn,
2015_DE_wiec_1st-of-May-Rave-Gorli,typ,wiec,festyn,
2016_DE_wiec_1st-of-May-Rave-Gorli,typ,wiec,festyn,
2017_DE_wiec_1st-of-May-Rave-Gorli,typ,wiec,festyn,
1996_DE_demonstracja_Graue-Panther,aktor,,Graue Panther,
1997_DE_wiec_Obdachlose-Iniativen-Treffe,aktor,,Obdachlose Initativen,
2000_DE_wiec_Wreath-laying-by-delegation-of-Russian-e,typ,wiec,upamiętnienie,
2002_DE_wiec_KPD-RZ,aktor,,KPD/RZ,typ: happening
2002_DE_wiec_KPD-RZ,typ,wiec,happening,typ: happening
2005_DE_demonstracja_FAU-Du-Hast-eine-Wurde-Verteidige-Sie,aktor,,FAU,
2026_DE_wiec_Fur-den-Erhalt-von-kunsterlischer-Arbeit,typ,wiec,festyn,
2011_DE_demonstracja_FAU-Spaziergang-gegen-Leiharbeit,aktor,,FAU,
2006_DE_wiec_Jungen-Liberalen-Protest,aktor,,Jungen Liberalen,
2006_DE_wiec_Jungen-Liberalen-Protest,typ,wiec,demonstracja,
1992_DE_festyn_LSBT-Fest,aktor,,LSBT Gruppen,
2018_DE_wiec_MaiGorli,typ,wiec,festyn,
1994_DE_demonstracja_Demokraten-fur-Deutschland-Vollendung-de,aktor,,Demokraten für Deutschland,
