rok,miasto,dzielnica,na_mapie,w_kronice,razem
2003,DE,Charlottenburg,0,2,2
2003,DE,Hohenschönhausen,2,0,2
2003,DE,Kreuzberg,1,7,8
2003,DE,Mitte,4,0,4
2003,DE,Neukölln,0,1,1
2003,DE,Prenzlauer Berg,1,0,1
2003,DE,Spandau,1,0,1
2003,DE,Westend,2,0,2
2004,DE,Charlottenburg,0,3,3
2004,DE,Friedrichshain,0,1,1
2004,DE,Kreuzberg,2,2,4
2004,DE,Lichtenberg,2,2,4
2004,DE,Mitte,4,0,4
2004,DE,Prenzlauer Berg,1,1,2
2004,DE,Westend,1,0,1
2005,DE,Friedrichshain,2,2,4
2005,DE,Hohenschönhausen,1,1,2
2005,DE,Kreuzberg,4,2,6
2005,DE,Köpenick,1,0,1
2005,DE,Mitte,4,0,4
2005,DE,Prenzlauer Berg,1,2,3
2005,DE,Treptow,1,0,1
2005,DE,Westend,2,0,2
2006,DE,Hohenschönhausen,1,0,1
2006,DE,Kreuzberg,5,1,6
2006,DE,Lichtenberg,1,0,1
2006,DE,Schöneberg,5,0,5
2006,DE,Tiergarten,1,0,1
2007,DE,Hohenschönhausen,1,0,1
2007,DE,Kreuzberg,4,2,6
2007,DE,Köpenick,1,0,1
2007,DE,Prenzlauer Berg,1,0,1
2007,DE,Schöneberg,5,0,5
2007,DE,Tiergarten,1,0,1
2007,DE,Treptow,1,0,1
2008,DE,Biesdorf,0,1,1
2008,DE,Charlottenburg,0,1,1
2008,DE,Dahlem,0,1,1
2008,DE,Friedrichsfelde,0,1,1
2008,DE,Friedrichshain,1,2,3
2008,DE,Karlshorst,0,1,1
2008,DE,Kreuzberg,2,5,7
2008,DE,Köpenick,1,0,1
2008,DE,Lichterfelde,0,1,1
2008,DE,Mariendorf,0,1,1
2008,DE,Marzahn,0,1,1
2008,DE,Mitte,0,2,2
2008,DE,Niederschöneweide,0,1,1
2008,DE,Oberschöneweide,0,1,1
2008,DE,Prenzlauer Berg,1,2,3
2008,DE,Reinickendorf,0,1,1
2008,DE,Schöneberg,3,1,4
2008,DE,Tiergarten,1,1,2
2008,DE,Treptow,0,1,1
2009,DE,Kreuzberg,2,3,5
2009,DE,Köpenick,3,2,5
2009,DE,Mitte,1,1,2
2009,DE,Prenzlauer Berg,1,0,1
2009,DE,Schöneberg,4,2,6
2009,DE,Tiergarten,1,0,1
2009,DE,Treptow,1,0,1
2010,DE,Gesundbrunnen,1,0,1
2010,DE,Halensee,1,0,1
2010,DE,Hohenschönhausen,1,0,1
2010,DE,Kreuzberg,2,0,2
2010,DE,Köpenick,1,0,1
2010,DE,Lichtenberg,1,0,1
2010,DE,Mitte,0,1,1
2010,DE,Niederschöneweide,2,0,2
2010,DE,Prenzlauer Berg,3,0,3
2010,DE,Schöneberg,3,0,3
2010,DE,Tiergarten,1,0,1
2010,DE,Treptow,1,0,1
2011,DE,Kreuzberg,2,0,2
2011,DE,Köpenick,1,0,1
2011,DE,Mitte,2,0,2
2011,DE,Prenzlauer Berg,1,0,1
2011,DE,Schöneberg,4,0,4
