id_bazowy,id
2016_DE_demonstracja_NPD,2016_DE_demonstracja_NPD_a
2016_DE_demonstracja_NPD,2016_DE_demonstracja_NPD_b
2002_DE_demonstracja_NIEZNANY,2002_DE_demonstracja_NIEZNANY
2002_DE_demonstracja_NIEZNANY,2002_DE_demonstracja_NIEZNANY_a
1990_DE_wiec_DGB,1990_DE_wiec_DGB
1990_DE_wiec_DGB,1990_DE_wiec_DGB_a
1990_DE_wiec_DGB,1990_DE_wiec_DGB_b
1990_DE_wiec_DGB,1990_DE_wiec_DGB_c
1990_DE_wiec_DGB,1990_DE_wiec_DGB_d
1990_DE_wiec_DGB,1990_DE_wiec_DGB_e
1990_DE_wiec_DGB,1990_DE_wiec_DGB_f
2002_DE_wiec_DGB,2002_DE_wiec_DGB
2002_DE_wiec_DGB,2002_DE_wiec_DGB_a
2002_DE_wiec_DGB,2002_DE_wiec_DGB_b
2003_DE_wiec_DGB,2003_DE_wiec_DGB
2003_DE_wiec_DGB,2003_DE_wiec_DGB_a
2003_DE_wiec_DGB,2003_DE_wiec_DGB_b
2004_DE_wiec_DGB,2004_DE_wiec_DGB
2004_DE_wiec_DGB,2004_DE_wiec_DGB_a
2005_DE_wiec_DGB,2005_DE_wiec_DGB
2005_DE_wiec_DGB,2005_DE_wiec_DGB_a
1999_DE_wiec_DGB,1999_DE_wiec_DGB
1999_DE_wiec_DGB,1999_DE_wiec_DGB_a
1999_DE_wiec_DGB,1999_DE_wiec_DGB_b
2019_DE_wiec_DGB,2019_DE_wiec_DGB
2019_DE_wiec_DGB,2019_DE_wiec_DGB_a
1991_DE_wiec_DGB,1991_DE_wiec_DGB
1991_DE_wiec_DGB,1991_DE_wiec_DGB_a
1991_DE_wiec_DGB,1991_DE_wiec_DGB_b
1991_DE_wiec_DGB,1991_DE_wiec_DGB_c
1991_DE_wiec_DGB,1991_DE_wiec_DGB_d
1991_DE_wiec_DGB,1991_DE_wiec_DGB_e
1992_DE_wiec_DGB,1992_DE_wiec_DGB
1992_DE_wiec_DGB,1992_DE_wiec_DGB_a
1992_DE_wiec_DGB,1992_DE_wiec_DGB_b
1992_DE_wiec_DGB,1992_DE_wiec_DGB_c
1992_DE_wiec_DGB,1992_DE_wiec_DGB_d
1992_DE_wiec_DGB,1992_DE_wiec_DGB_e
1993_DE_wiec_DGB,1993_DE_wiec_DGB
1993_DE_wiec_DGB,1993_DE_wiec_DGB_a
1993_DE_wiec_DGB,1993_DE_wiec_DGB_b
1993_DE_wiec_DGB,1993_DE_wiec_DGB_c
1993_DE_wiec_DGB,1993_DE_wiec_DGB_d
1993_DE_wiec_DGB,1993_DE_wiec_DGB_e
2006_DE_wiec_DGB,2006_DE_wiec_DGB
2006_DE_wiec_DGB,2006_DE_wiec_DGB_a
2007_DE_wiec_DGB,2007_DE_wiec_DGB
2007_DE_wiec_DGB,2007_DE_wiec_DGB_a
2008_DE_wiec_DGB,2008_DE_wiec_DGB
2008_DE_wiec_DGB,2008_DE_wiec_DGB_a
2009_DE_wiec_DGB,2009_DE_wiec_DGB
2009_DE_wiec_DGB,2009_DE_wiec_DGB_a
2010_DE_wiec_DGB,2010_DE_wiec_DGB
2010_DE_wiec_DGB,2010_DE_wiec_DGB_a
2011_DE_wiec_DGB,2011_DE_wiec_DGB
2011_DE_wiec_DGB,2011_DE_wiec_DGB_a
1994_DE_wiec_DGB,1994_DE_wiec_DGB
1994_DE_wiec_DGB,1994_DE_wiec_DGB_a
1994_DE_wiec_DGB,1994_DE_wiec_DGB_b
1994_DE_wiec_DGB,1994_DE_wiec_DGB_c
1994_DE_wiec_DGB,1994_DE_wiec_DGB_d
1994_DE_wiec_DGB,1994_DE_wiec_DGB_e
1995_DE_wiec_DGB,1995_DE_wiec_DGB
1995_DE_wiec_DGB,1995_DE_wiec_DGB_a
1995_DE_wiec_DGB,1995_DE_wiec_DGB_b
1996_DE_wiec_DGB,1996_DE_wiec_DGB
1996_DE_wiec_DGB,1996_DE_wiec_DGB_a
1996_DE_wiec_DGB,1996_DE_wiec_DGB_b
1997_DE_wiec_DGB,1997_DE_wiec_DGB
1997_DE_wiec_DGB,1997_DE_wiec_DGB_a
1997_DE_wiec_DGB,1997_DE_wiec_DGB_b
1998_DE_wiec_DGB,1998_DE_wiec_DGB
1998_DE_wiec_DGB,1998_DE_wiec_DGB_a
1998_DE_wiec_DGB,1998_DE_wiec_DGB_b
2000_DE_wiec_DGB,2000_DE_wiec_DGB
2000_DE_wiec_DGB,2000_DE_wiec_DGB_a
2000_DE_wiec_DGB,2000_DE_wiec_DGB_b
2000_DE_wiec_DGB,2000_DE_wiec_DGB_c
2001_DE_wiec_DGB,2001_DE_wiec_DGB
2001_DE_wiec_DGB,2001_DE_wiec_DGB_a
2001_DE_wiec_DGB,2001_DE_wiec_DGB_b
2001_DE_wiec_DGB,2001_DE_wiec_DGB_c
1990_DE_demonstracja_DGB,1990_DE_demonstracja_DGB
1990_DE_demonstracja_DGB,1990_DE_demonstracja_DGB_a
1990_DE_demonstracja_DGB,1990_DE_demonstracja_DGB_b
1990_DE_demonstracja_DGB,1990_DE_demonstracja_DGB_c
1991_DE_demonstracja_DGB,1991_DE_demonstracja_DGB
1991_DE_demonstracja_DGB,1991_DE_demonstracja_DGB_a
1991_DE_demonstracja_DGB,1991_DE_demonstracja_DGB_b
1991_DE_demonstracja_DGB,1991_DE_demonstracja_DGB_c
1992_DE_demonstracja_DGB,1992_DE_demonstracja_DGB
1992_DE_demonstracja_DGB,1992_DE_demonstracja_DGB_a
1992_DE_demonstracja_DGB,1992_DE_demonstracja_DGB_b
1992_DE_demonstracja_DGB,1992_DE_demonstracja_DGB_c
1994_DE_demonstracja_DGB,1994_DE_demonstracja_DGB
1994_DE_demonstracja_DGB,1994_DE_demonstracja_DGB_a
1994_DE_demonstracja_DGB,1994_DE_demonstracja_DGB_b
1993_DE_demonstracja_DGB,1993_DE_demonstracja_DGB
1993_DE_demonstracja_DGB,1993_DE_demonstracja_DGB_a
1993_DE_demonstracja_DGB,1993_DE_demonstracja_DGB_b
1996_DE_demonstracja_DGB,1996_DE_demonstracja_DGB
1996_DE_demonstracja_DGB,1996_DE_demonstracja_DGB_a
1996_DE_demonstracja_DGB,1996_DE_demonstracja_DGB_b
1996_DE_demonstracja_DGB,1996_DE_demonstracja_DGB_c
1996_DE_demonstracja_DGB,1996_DE_demonstracja_DGB_d
1997_DE_demonstracja_DGB,1997_DE_demonstracja_DGB
1997_DE_demonstracja_DGB,1997_DE_demonstracja_DGB_a
1997_DE_demonstracja_DGB,1997_DE_demonstracja_DGB_b
1997_DE_demonstracja_DGB,1997_DE_demonstracja_DGB_c
1998_DE_demonstracja_DGB,1998_DE_demonstracja_DGB
1998_DE_demonstracja_DGB,1998_DE_demonstracja_DGB_a
1998_DE_demonstracja_DGB,1998_DE_demonstracja_DGB_b
1999_DE_demonstracja_DGB,1999_DE_demonstracja_DGB
1999_DE_demonstracja_DGB,1999_DE_demonstracja_DGB_a
1999_DE_demonstracja_DGB,1999_DE_demonstracja_DGB_b
2000_DE_demonstracja_DGB,2000_DE_demonstracja_DGB
2000_DE_demonstracja_DGB,2000_DE_demonstracja_DGB_a
2000_DE_demonstracja_DGB,2000_DE_demonstracja_DGB_b
2000_DE_demonstracja_DGB,2000_DE_demonstracja_DGB_c
