nr,rok,dzielnica,nazwa,zrodlo,dokument,trafnosc,cytat
43,2000,Kreuzberg,Bündnis-Mai-Feier auf dem Mariannenplatz,ND 29.04.2000,artykuly_nd.txt,14.0,"13-21 Uhr Bündnis-Mai-Feier, Mariannenplatz, Kreuzberg"
44,2000,Treptow,PDS-Mai-Fest im Springborn-Club,ND 29.04.2000,artykuly_nd.txt,14.0,"14-18 Uhr, PDS-Mai-Fest, Springborn- Club, Treptow-Johannisthal"
45,2005,Hohenschönhausen,Maifest Lichtenberg,"PDS Berlin, Termine 05.04.2005; info links (Die Linke Lichtenberg) 03/2005",info0305.pdf,14.0,"11–18 Uhr Maifest Lichtenberg; Falkenberger Chaussee, zwischen Pablo-Picassound Vincent-van-Gogh-Straße (* Veranstaltungsort: Alfred-Kowalke-Straße 14) BuchTipp Demokratischer Abbruch Ein neues Buch von Daniela Dahn ist immer der Aufmerk…"
46,2005,Köpenick,Maifest Schlossplatz Köpenick,"PDS Berlin, Termine 05.04.2005",artykuly_nd.txt,12.0,"ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels."
47,2005,Kreuzberg,Maifest Mariannenplatz,"PDS Berlin, Termine 05.04.2005",artykuly_nd.txt,7.0,"13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg, u.a. mit Katina Schubert, Petra Pau und Pascal Meiser (ca."
48,2005,Prenzlauer Berg,Maifest an der Bötzoweiche,"PDS Berlin, Termine 05.04.2005; Zotero: »Botzow-Fest 1. Mai PDS«, s. 8",,0,
49,2005,Treptow,Maifest Springbornclub,"PDS Berlin, Termine 05.04.2005",artykuly_nd.txt,8.7,ab 14 Uhr gleich zwei Maifeiern ein: Im Johannisthaler Springbornclub (Springbornstraße) und im Gerard-Philippe-Klub (Karl-Kunger-Stra-ße).
50,2013,Köpenick,Maifest in Treptow-Köpenick,"Facebook Die Linke, 1.05.2013",artykuly_nd.txt,10.0,"ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels."
51,2013,Hohenschönhausen,Maifest »Bunte Platte«,"Facebook Die Linke, 1.05.2013",artykuly_nd.txt,10.0,"Maifest ""Bunte Platte"" in Hohenschönhausen: Mit dabei auch die Bundestagsabgeordnete Gesine Lötzsch."
52,2017,Hohenschönhausen,Familienfest Hohenschönhausen,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"11 bis 17 Uhr: Familienfest »Bunte Platte« in Hohenschönhausen, Falkenberger Chaussee/ Vincent-van-Gogh-Straße, u.a. mit Michael Grunst und Gesine Lötzsch"
53,2017,Lichtenberg,Markt am Rathaus Lichtenberg,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"11 bis 18 Uhr: Markt am Rathaus Lichtenberg, Frankfurter Allee/Möllendorffstraße, u.a. mit Gesine Lötzsch"
54,2017,Prenzlauer Berg,Fest an der Bötzow-Eiche,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"13 bis 18.30 Uhr: Fest an der Bötzow-Eiche, Ecke Bötzowstraße/ Straße am Friedrichshain (Sozialsenatorin Elke Breitenbach wird anwesend sein)"
55,2017,Treptow,Kiezfest Johannisthal,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"12 bis 20 Uhr: Kiezfest Johannisthal, Springbornstraße 13, Treptow-Köpenick"
56,2017,Köpenick,1. Mai-Fest DIE LINKE Treptow-Köpenick,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"13 bis 18 Uhr: 1. Mai Fest DIE LINKE. Treptow-Köpenick, Schlossplatz, Altstadt Köpenick, u.a. mit Petra Pau und Klaus Lederer (ca."
57,2017,Kreuzberg,1. Mai-Fest auf dem Mariannenplatz,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"13 bis 20 Uhr: 1.Mai-Fest auf dem Mariannenplatz, Kreuzberg (Landesvorsitzende Katina Schubert wird anwesend sein)"
58,2017,Hellersdorf,1. Mai-Fest Cecilienplatz,Newsletter Die Linke Berlin 21.04.2017,artykuly_nd.txt,14.0,"14 bis 18 Uhr: 1.Mai-Fest, Cecilienplatz, Nähe U-Bahnhof Kaulsdorf-Nord, 12619 Berlin"
59,2018,Hohenschönhausen,Familienfest »Bunte Platte«,ND,artykuly_nd.txt,14.0,"11 bis 17 Uhr: Familienfest »Bunte Platte« in Hohenschönhausen, Falkenberger Chaussee/ Vincent-van-Gogh-Straße, u.a. mit Michael Grunst und Gesine Lötzsch"
60,2018,Lichtenberg,Markt am Rathaus Lichtenberg,ND,artykuly_nd.txt,14.0,"11 bis 18 Uhr: Markt am Rathaus Lichtenberg, Frankfurter Allee/Möllendorffstraße, u.a. mit Gesine Lötzsch"
61,2018,Prenzlauer Berg,Fest an der Bötzow-Eiche,ND,artykuly_nd.txt,14.0,"13 bis 18.30 Uhr: Fest an der Bötzow-Eiche, u.a. mit Katina Schubert, Pascal Meiser (ca."
62,2018,Köpenick,1. Mai Fest DIE LINKE Treptow-Köpenick,ND,artykuly_nd.txt,14.0,"13 bis 18 Uhr: 1. Mai Fest DIE LINKE. Treptow-Köpenick, Schlossplatz, Altstadt Köpenick, u.a. mit Petra Pau und Klaus Lederer (ca."
63,2018,Kreuzberg,1. Mai Fest auf dem Mariannenplatz,ND,artykuly_nd.txt,14.0,"13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg, u.a. mit Katina Schubert, Petra Pau und Pascal Meiser (ca."
64,2019,Hohenschönhausen,Bunte-Platte-Fest,strona wydarzenia Die Linke Berlin; info links (Die Linke Lichtenberg) 05/2019,info0519.pdf,12.0,"10 Uhr Schutz der Grundrechte Bunte-Platte-Fest am Warnitzer Bogen Für welche Sicherheitspolitik steht Trend der Gesetzesverschärfungen weile mehrere gemeinsame Projekte z 7.5.,"
65,2019,Lichtenberg,Spectaculum am lichten Berg,Newsletter Die Linke Berlin; info links (Die Linke Lichtenberg) 05/2019,artykuly_nd.txt,10.8,"11 bis 18 Uhr: Markt am Rathaus Lichtenberg, Frankfurter Allee/Möllendorffstraße, u.a. mit Gesine Lötzsch"
66,2019,Köpenick,Maifest auf dem Schlossplatz Köpenick,"Newsletter Die Linke Berlin; blättchen (Die Linke Treptow-Köpenick) 250, maj 2019",artykuly_nd.txt,12.0,"ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels."
67,2019,Prenzlauer Berg,Maifest an der Bötzow-Eiche,Newsletter Die Linke Berlin »Maifeierlichkeiten«,artykuly_nd.txt,12.0,"ab 13 Uhr starten die Maifeste. Am Schloßplatz, Altstadt Köpenick, findet ihr das Maifest der Linken Treptow-Köpenick, mit Gregor Gysi, Petra Pau und Katina Schubert. Auch an der Bötzow-Eiche, Bötzowstraße / Am Friedrichshain, findet ein Maifest statt. Mit Elke Breitenbach, Stefan Liebich, Petra Pau und Martina Michels."
68,2019,Kreuzberg,1. Mai Fest auf dem Mariannenplatz,Newsletter Die Linke Berlin »Maifeierlichkeiten«,artykuly_nd.txt,12.0,"13 bis 22 Uhr: 1. Mai Fest auf dem Mariannenplatz Kreuzberg, u.a. mit Katina Schubert, Petra Pau und Pascal Meiser (ca."
