rok,liczba_wydarzen,typy,liczba_demonstracji,liczba_upamietnien,liczba_festynow,czy_kontra,demonstracje_piesze,korso,liczba_rewolucyjnych,marsz_gwiazdzisty,liczba_zwiazkowych,liczba_prawicowych,liczba_kontra,liczba_wiecow,liczba_happeningow,liczba_spotkan,liczba_koncertow,liczba_poza_centrum,liczba_dzielnicowych,serie_dzielnicowe_czynne,dzielnicowe_kronika,frekwencja_suma,frekwencja_maj1,frekwencja_walpurgis,frekwencja_npd_kontra,frekwencja_zwiazkowa,udzial_zwiazkowy,liczba_aktorow,aktorzy_nowi,aktorzy_znikajacy,wydarzenia_nowe,wydarzenia_znikajace,miejsce_wiecu,miejsce_wiecu_zmienione,trasa_glowna_zmieniona,notatka,frekwencja_antinazi,frekwencja_dgb,frekwencja_euro,frekwencja_marian,frekwencja_myfest,frekwencja_nazi,frekwencja_pds_a,frekwencja_pds_u,frekwencja_revo13,frekwencja_revo18,frekwencja_revo_j,frekwencja_repo,policja_sily,ranni_policjanci,zatrzymania_1maja,zatrzymania_walpurgis,zatrzymania_kontra
2008,11,demonstracja:4;festyn:4;korso:2;wiec:1,4,0,4,FALSE,4,2,2,FALSE,4,0,0,1,0,0,0,8,2,6,16,46925,46925,,,9125,0.194,6,,,,2007_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Demo,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2008_DE,,9125,6500,,20000,,,,300,11000,,11300,4572,112,139,24,0
2009,15,demonstracja:4;festyn:6;kontra:1;korso:3;wiec:1,4,0,6,TRUE,4,3,2,FALSE,5,2,2,1,0,0,0,11,3,6,2,64500,60800,,3700,13500,0.209,8,Antinazi Berlin_SPD;NPD,,2009_DE_festyn_NPD;2009_DE_kontra_Antinazi-Berlin-SPD,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2009_DE,3500,13500,3500,,35000,200,,,300,8500,,8800,5761,479,289,57,0
2010,19,demonstracja:7;festyn:7;kontra:2;korso:2;wiec:1,7,0,7,TRUE,5,2,2,FALSE,4,6,6,1,0,0,0,15,5,6,0,62000,51300,,10700,9750,0.157,7,Antinazi Berlin,Antinazi Berlin_SPD;EuroMayDay,2010_DE_demonstracja_Antinazi-Berlin;2010_DE_demonstracja_NPD-gesundbrunnen;2010_DE_kontra_Antinazi-Berlin-niederschoneweide,2009_DE_demonstracja_EuroMayDay;2009_DE_festyn_NPD;2009_DE_kontra_Antinazi-Berlin-SPD,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2010_DE,10000,9750,,,29000,700,,,50,12500,,12550,7400,98,161,37,289
2011,14,demonstracja:5;festyn:6;korso:3,5,0,6,FALSE,5,3,2,FALSE,5,0,0,0,0,0,0,9,3,6,0,49833,49833,,,11500,0.231,6,FAU,Antinazi Berlin;NPD,2011_DE_demonstracja_FAU-FAU-Spaziergang-gegen-Leiharbeit;2011_DE_demonstracja_Walpurgisnacht-Walpurgisnacht-Wir-Bleiben-Alle;2011_DE_festyn_Walpurgisnacht-Antikapitalistische-Walpurgisnacht-Fest-,2010_DE_demonstracja_Antinazi-Berlin;2010_DE_demonstracja_NPD-gesundbrunnen;2010_DE_kontra_Antinazi-Berlin-niederschoneweide;2010_DE_wiec_Walpurgisnacht-Antikapitalistische-Walpurgisnacht,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2011_DE,,11500,,,27000,,,,,11333,,11333,7400,75,103,58,0
2012,15,demonstracja:4;festyn:8;kontra:1;korso:2,4,0,8,TRUE,4,2,2,FALSE,4,0,0,0,0,0,0,9,7,6,0,60625,60625,,,12625,0.208,5,,FAU,2012_DE_kontra_Die-Linke,2011_DE_demonstracja_FAU-FAU-Spaziergang-gegen-Leiharbeit;2011_DE_festyn_Walpurgisnacht-Antikapitalistische-Walpurgisnacht-Fest-,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2012_DE,,12625,,,29500,,,,,18500,,18500,7000,124,119,4,0
2013,14,demonstracja:5;festyn:5;kontra:1;korso:2;wiec:1,5,0,5,TRUE,5,2,2,FALSE,4,3,3,1,0,0,0,8,3,6,0,63717,61417,,2300,9750,0.153,7,Antinazi Berlin;NPD,,2013_DE_demonstracja_NPD;2013_DE_kontra_Antinazi-Berlin;2013_DE_wiec_NPD,2012_DE_kontra_Die-Linke,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2013_DE,2000,9750,,,40000,300,,,,11667,,11667,7000,54,74,20,0
2014,11,demonstracja:4;festyn:5;korso:2,4,0,5,FALSE,4,2,2,FALSE,4,0,0,0,0,0,0,4,2,6,0,70667,70667,,,8667,0.123,5,,Antinazi Berlin;NPD,,2013_DE_demonstracja_NPD;2013_DE_kontra_Antinazi-Berlin;2013_DE_wiec_NPD,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2014_DE,,8667,,,40000,,,,,22000,,22000,6400,59,53,15,0
2015,17,demonstracja:4;festyn:7;kontra:1;korso:2;wiec:3,4,0,7,TRUE,4,2,2,FALSE,4,3,3,3,0,0,0,10,4,6,0,86050,85500,,550,15000,0.174,7,Antinazi Berlin;NPD,,2015_DE_kontra_Antinazi-Berlin;2015_DE_wiec_NPD-marzahn;2015_DE_wiec_Walpurgisnacht-Walpurgisnacht-in-Gorli,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2015_DE,500,15000,,,45000,50,,,,25500,,25500,6554,41,45,8,0
2016,20,demonstracja:6;festyn:5;kontra:5;korso:2;wiec:2,6,0,5,TRUE,5,2,3,FALSE,4,8,8,2,0,0,0,13,2,6,7,61700,60750,,950,14000,0.227,7,,,2016_DE_demonstracja_NPD,2015_DE_wiec_Walpurgisnacht-Walpurgisnacht-in-Gorli,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2016_DE,900,14000,,,30000,50,,,250,16500,,16750,6091,59,42,0,0
2017,21,demonstracja:7;festyn:11;kontra:1;korso:2,7,0,11,TRUE,7,2,4,FALSE,4,3,3,0,0,0,0,13,7,7,3,74900,74250,,650,14000,0.187,8,AfD;Bärgida,NPD,2017_DE_demonstracja_Bargida;2017_DE_festyn_AfD,2016_DE_demonstracja_NPD;2016_DE_wiec_NPD-neu-hohenschonhausen,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2017_DE,600,14000,,,45000,50,,,250,15000,,15250,6000,32,114,0,0
2018,15,demonstracja:4;festyn:9;korso:2,4,0,9,FALSE,4,2,2,FALSE,4,1,1,0,0,0,0,8,5,6,1,74730,74200,,530,9500,0.127,6,,Antinazi Berlin;Bärgida,,2017_DE_demonstracja_Bargida;2017_DE_kontra_Antinazi-Berlin,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2018_DE,500,9500,,,52000,30,,,200,12500,,12700,5170,20,103,0,0
2019,17,demonstracja:5;festyn:8;korso:2;wiec:2,5,0,8,FALSE,5,2,3,FALSE,4,1,1,2,0,0,0,10,5,6,16,68800,68200,,600,13000,0.189,6,,,2019_DE_wiec_Walpurgisnacht-Weddinger-Walpurgisnacht,,Brandenburger Tor,FALSE,,obsidian://open?vault=Wszystko&file=2019_DE,500,13000,,,45000,100,,,200,10000,,10200,5500,39,150,0,0
