rok,miasto,aktor,aktor_znany,typ,trasa,trasa_alt,miejsce_wiecu,miejsce_wiecu_zrodlo,haslo,frekwencja_lista,frekwencja_sr,frekwencja_uwagi,klucze_zrodlowe,plik_zrodlowy,wymaga_weryfikacji
1995,DE,ÖTV,True,demonstracja,9:30 Engeldamm 70 – Kölnischer Park,,Kölnischer Park,koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
1996,DE,BKG,True,,,,,,"Bündnis von Unten, statt Bündnis für Arbeit!; Neunter Mai: Protesttag in Berlin!; Umverteilen! Von Oben nach Unten!; Bei Uns wird nicht gespart!; Euer Bündnis ist Beschiß!; Da wird's Kohl und Zwickel mau - Kampf dem Sozialabbau! Kampf dem Sozialabbau!; Zwickels Bündnis ist unser Ruin!; Schultes Vorstoß ist ein Hohn! Bei Krankheit woll'n wir vollen Lohn!; Kämpfen statt Kriechen!; Basiskampf statt Vorstandskrampf!; Aufruhr! Widerstand! Schulte hat kein Hinterland!; Dreißig Stunden! Personal - und Lohnausgleich!; Fünfzehnhundert M für Alle! Sonst pausenlos Krawalle! (BKG 244)",,,,Hasła_BKG,DE_1990-2019.md,True
2001,DE,ÖTV,True,demonstracja,Annenstraße – Heinrich-Heine-Strasse – Brückenstrasse – Alexanderstrasse – rechts in die Grunerstrasse – Alexanderplatz – links in der Karl-Liebknecht-Strasse – links in die Spandauer Strasse – Berliner Rathaus (DGBGB 668),,Berliner Rathaus (DGBGB 668),koniec trasy,,,,,Trasa_ÖTV,DE_1990-2019.md,False
2002,DE,DGB Berlin-Brandenburg,True,,,,,,Stoppt den Arbeitsplatzabbau – für ein lebenswertes Berlin.,,,,Hasło_DGBBB,DE_1990-2019.md,True
2003,DE,,False,,,,,,,,,,Frekwencja,DE_1990-2019.md,True
2003,DE,DGB Berlin-Brandenburg,True,,,,,,"Schaut auf diese Stadt, macht sie nicht platt - Berlin braucht Arbeit, Bildung, Zukunft",,,,Hasło_DGBBB,DE_1990-2019.md,True
2004,DE,FDJ,True,,,,,,"Lieber raus mit der BRD, als nur  weiter Sozialabgebaut werden! Fabriken und Land zurück in Arbeiterhand! Zurück in die Zukunft: [GDR state emblem]
Europa, Frei, Gleich, Gerecht, wird erst möglich mit der Reslosen Vernichtung des Deutschen Militarismus!",,,,Hasła_FDJ,DE_1990-2019.md,True
2004,DE,DGB Berlin-Brandenburg,True,,,,,,Nichts ist gut so – schon gar nicht in Berlin! Gemeinsam gestalten nur mit uns!,,,,Hasło_DGBBB,DE_1990-2019.md,True
2005,DE,DGB Berlin-Brandenburg,True,,,,,,Innovation statt Billiglohn,,,,Hasło_DGBBB,DE_1990-2019.md,True
2006,DE,DGB Berlin-Brandenburg,True,,,,,,Berlin braucht seine Plätze – Arbeits- und Ausbildungsplätze,,,,Hasło_DGBBB,DE_1990-2019.md,True
2007,DE,DGB Berlin-Brandenburg,True,,,,,,Fair statt prekär – Gute Arbeit für Berlin!,,,,Hasło_DGBBB,DE_1990-2019.md,True
2008,DE,DGB Berlin-Brandenburg,True,,,,,,Gute Bezahlung muss drin sein!,,,,Hasło_DGBBB,DE_1990-2019.md,True
2009,DE,DGB Berlin-Brandenburg,True,,,,,,-,,,,Hasło_DGBBB,DE_1990-2019.md,True
2010,DE,DGB Berlin-Brandenburg,True,,,,,,-,,,,Hasło_DGBBB,DE_1990-2019.md,True
2011,DE,DGB Berlin-Brandenburg,True,,,,,,Berlin braucht sozial Sicherheit,,,,Hasło_DGBBB,DE_1990-2019.md,True
2013,DE,DGB Berlin-Brandenburg,True,,,,,,Berlin. Haputstadt (der prekaren Beschäftigung und der Altersarmut) im Herzen,,,,Hasło_DGBBB,DE_1990-2019.md,True
