rok,miasto,aktor,wydarzenie,liczba,zrodlo,kategoria,plik_zrodlowy
2017,DE,R1M,demonstracja 13:00,250,JugendWiderstand,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo13
2017,DE,R1M,demonstracja wieczorna,10000,"police, Berliner Morgenpost ticker 2018",policja,FrekwencjaDGB15.xlsx#Dane_Revo
2017,DE,R1M,demonstracja wieczorna,20000,"organizers, umbruch archiv",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2018,DE,DGB,demonstracja,14000,Neues Deutschland (za organizatorami),organizatorzy,FrekwencjaDGB15.xlsx#Dane
2018,DE,DGB,demonstracja,5000,Policja,policja,FrekwencjaDGB15.xlsx#Dane
2018,DE,MyFest,festyn,52000,szacunki (MyFest + MaiGörli),prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2018,DE,MyGruni,festyn,1500,taz ticker,prasa,FrekwencjaDGB15.xlsx#Dane_MyGruni
2018,DE,MyGruni,festyn,5000,PM MyGruni,organizatorzy,FrekwencjaDGB15.xlsx#Dane_MyGruni
2018,DE,NPD,demonstracja,30,taz (AfD Fest),prasa,FrekwencjaDGB15.xlsx#Dane_Nazi
2018,DE,R1M,demonstracja 13:00,200,JugendWiderstand,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo13
2018,DE,R1M,demonstracja wieczorna,7000,"police, Berliner Morgenpost ticker 2018",policja,FrekwencjaDGB15.xlsx#Dane_Revo
2018,DE,R1M,demonstracja wieczorna,18000,"organisers, Umbruch Archiv",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2019,DE,Antifa,kontrdemonstracja,500,nd,prasa,FrekwencjaDGB15.xlsx#Dane_Antinazi
2019,DE,DGB,demonstracja,13000,DGB online,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2019,DE,MyFest,festyn,45000,szacunki,prasa,FrekwencjaDGB15.xlsx#Dane_MyFest
2019,DE,MyGruni,festyn,2500,"Weit mehr als 2000 Menschen, BK 2.05.2019",prasa,FrekwencjaDGB15.xlsx#Dane_MyGruni
2019,DE,MyGruni,festyn,4500,taz(4.05.2019),prasa,FrekwencjaDGB15.xlsx#Dane_MyGruni
2019,DE,MyGruni,festyn,7500,(organisers via Berliner Zeitung 1.05.2019),organizatorzy,FrekwencjaDGB15.xlsx#Dane_MyGruni
2019,DE,MyGruni,festyn,3000,"3000 (Berliner Zeitung, 2.05.2019)",prasa,FrekwencjaDGB15.xlsx#Dane_MyGruni
2019,DE,NPD,demonstracja,100,AfD,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Nazi
2019,DE,R1M,demonstracja 13:00,200,JugendWiderstand,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo13
2019,DE,R1M,demonstracja wieczorna,15000,"organisers, Umbruch Archiv",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2019,DE,R1M,demonstracja wieczorna,10000,"press, Perspektive",prasa,FrekwencjaDGB15.xlsx#Dane_Revo
2019,DE,R1M,demonstracja wieczorna,5000,"police, via Berliner Zeitung",policja,FrekwencjaDGB15.xlsx#Dane_Revo
2020,DE,DGB,demonstracja,0,odwołano,,FrekwencjaDGB15.xlsx#Dane
2020,DE,R1M,demonstracja wieczorna,3000,mehrere tausend,policja,FrekwencjaDGB15.xlsx#Dane_Revo
2020,DE,R1M,demonstracja wieczorna,3000,mehrere tausend,organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
2021,DE,DGB,demonstracja,300,Tylko na zaproszenie,organizatorzy,FrekwencjaDGB15.xlsx#Dane
2021,DE,R1M,demonstracja wieczorna,9000,"police, via BM",policja,FrekwencjaDGB15.xlsx#Dane_Revo
2021,DE,R1M,demonstracja wieczorna,20000,"organizatorzy, Umbruch Archiv",organizatorzy,FrekwencjaDGB15.xlsx#Dane_Revo
