rok,godzina_od,godzina_do,dzielnica,dzielnice_wszystkie,aktor_zgadniety,sekcja,tekst,wiersz_zrodlowy
1991,19:00,,,,,Prasa / taz / LE­SUN­GUND­VI­DEO  ■  ANARCHIE IN MOABIT,"Opis:: Anarchist events post-May Day: - 19:00 - Ralf Landmesser, anarchistische Polit-Lyrik, Kulturfabrik Lehrter Straße 35 - 20:00 - Horst Stohwasser, Videovortrag ""Die Utopie lebt noch"" über ""Projekt A"", A-Laden Rathenower Straße 22",1133
1991,20:00,,,,,Scenariusz,"20:00 - ""Wer jetzt nicht tanzt"" - Konzert mit Franz-Josef Degenhardt, Haus der Kultobchen Park",856
1991,20:30,,,,,Scenariusz,20:30 - Hofgarten-Wirtz-Platz - Klubgespräch mit Michael Brie und Reinhold Andert,857
1992,07:45,,,,DGB;IG Metall,Events description / taz / 1. Mai in Senftenberg,"Opis:: Für den 1. Mai organisiert der DGB gemeinsam mit den Mitgliedsgewerkschaften die Mai-Kundgebung in Senftenberg. Dazu fährt ein Sonderzug 7.45 Uhr ab Senftenberg eine »Ehrenrunde durch die Niederlausitz« über Ruhland, Lauchammer-West, Elsterwerda-Biehla, Bad Liebenwerda, Schönborn, Doberlug-Kirchhain, Finsterwalde und Großräschen zurück nach Senftenberg. Nach der Kundgebung und dem anschließ",1715
1992,08:30,,,,DGB;IG Metall;ÖTV;FDGB,Events description,"8:30-9:30 (?) – 5 separate rallies: DGB, IG Metall, former FDGB, ÖTV and Alexanderplatz towards Lustgarten",1396
1992,08:30,,,,DGB;IG Metall;ÖTV,Events description / taz / Der Tag der Arbeit wird im Lust­gar­ten gefeiert,"Opis:: Plans of DGB for May 1st in Berlin. Main event at Lustgarten. Accoring to Christine Bretz, trade unions will protest the shifting the costs of transformation onto employees, protest against abolishment of continued payment of wages in the event of illness for workers. Bretz says that employees will also need to 'practice restraint' when it comes to rebuilding of the East, as many of them mi",1655
1992,09:00,,,,DGB,Events description,9:00 – DGB Haus demonstration beginning,1392
1992,09:00,,,,ÖTV;GEW,Events description,9:00 – ÖTV/GEW demonstration beginning,1393
1992,09:30,,,,IGM,Events description,9:30 – IGM/IG Medien demonstration beginning,1394
1992,10:00,,,,DGB,Events description,10:00 – DGB Wallstrasse demonstration beginning,1395
1992,11:00,,,,DGB,Events description,"11:00 – DGB rally at Lustgarten – why Lustagarten, the same place as in GDR? Some reason behind it?",1397
