rok,miasto,pole,tekst,plik
1991,PL,Odwołania_historyczne,"** Ponad stuletnia historia pierwszego maja, święta międzynarodowego. Podkreślony walczący wymiar tej tradycji – jest to dzień, *gdy ludzie pracy wyrażają sprzeciw przeciwko wyzyskowi, pogarszającym się warunkom życia, a głównie podejmują walkę o własną godność, szacunek i sprawiedliwość społeczną*
>
> *Jak będzie w tym roku? Jedno jest pewne – wracamy do najdawniejszych tradycji. Walka o przetrwanie, o godność, o pracę – wypisywana wówczas na robotniczych transparentach znów musi się stać treścią Święta Majowego. Ale to wcale nie jest optymistyczne*",PL_1990-2019.md
1991,PL,Wspolnie_OPZZ_PPS,Nie,PL_1990-2019.md
1991,PL,Miejsca_pamięci,"PPS: Warecka
delegacja SLD OPZZ: Brama Straceń
SdRP/OPZZ:...., gdzie, poza uczestnikami pochodu, kwiaty składali gen. Jaruzelski, Mieczysław Rakowski i Edward Osóbka-Morawski",PL_1990-2019.md
1991,PL,Siedziba Robotnika,"PPS Ikonowicza składa kwiaty pod Robotnikiem. ""Po złożeniu wiązanki czerwonych róż zgromadzeni przeszli pod Ministerstwo Finansów skandując Balcerowicz na zasiłek, zwolnić rząd nie załogi, chcemy pracy, nie jałmużny"" (ŻW)",PL_1990-2019.md
1991,PL,Plac Grzybowski,nie odbywa się,PL_1990-2019.md
1991,PL,Plac Piłsudskiego,"Pomnik Nike: ""poza uczestnikami pochodu, kwiaty składali gen. Jaruzelski, Mieczysław Rakowski i Edward Osóbka-Morawski"" (DT)",PL_1990-2019.md
1991,PL,Brama Straceń,delegacja SLD i OPZZ składa kwiaty pod Bramą Straceń (DT),PL_1990-2019.md
1991,PL,kontra,"Z budynku na Krakowskim Przedmieściu 6 przedstawiciele PPS rozrzucają ulotki i wywieszają swoje czerwone flagi (TVP, RP 2000)
Ze schodów kościoła św. Krzyża socjaldemokraci usłyszeli, że są mordercami. Krzyczano na nich ""Precz z komuną"" i ""Żydzi do Moskwy !"". Początek pochodu domagał się poprawy warunków pracy i życia. Środek i koniec swoje myśli artykułował wyraźnie: ""Precz z Wałęsą"", ""Wałęsa do kaplicy"" i - co ciekawe - ""Precz z UB!"". Obserwatorzy marszu usłyszeli od socjaldemokratów, że są ""SS-manami i s...synami"" (GW 1991)
Pod pomnikiem Nike młody człowiek próbował zakłócić porządek, nawołując do skandowania razem z nim ""Precz z Wałęsą"". Na żądanie manifestujących policja usunęła go ze spotkania (ŻW)
Jeden z najbardziej zagorzałych antykomunistów towarzyszy manifestacji jeszcze przez spory kawałek ulicy.",PL_1990-2019.md
1991,PL,kontra_lewica,"Z budynku na Krakowskim Przedmieściu 6 przedstawiciele PPS rozrzucają ulotki i wywieszają swoje czerwone flagi (TVP, RP 2000)",PL_1990-2019.md
1991,PL,Pikniki,"- Tym razem Trybuna zaprasza na spotkanie w klubie dyskusyjnym przy Szarej 10, gdzie gościem będzie Miodowicz i Cimoszewicz, a także członkowie redakcji Trybuny (DT)
12 – spotkanie z kolegium Trybuny; 13 – gościem będzie Alfred Miodowicz; 14 – szef PKLD Włodzimierz Cimoszewicz; 15 – spotkanie z kierownictwem SdRP. Dyskusjom towarzyszyć ma kiermasz książek, czasopism i sprzętu elektronicznego. Na dzieci od 12 w sali kinowej czekać będą kreskówki. Finałem części festynowej będzie o 17 występ Władysława Komara i Andrzeja Gackiego (DT)",PL_1990-2019.md
