rok,liczba_wydarzen,typy,liczba_demonstracji,liczba_upamietnien,liczba_festynow,czy_kontra,demonstracje_piesze,korso,liczba_rewolucyjnych,marsz_gwiazdzisty,liczba_zwiazkowych,liczba_prawicowych,liczba_kontra,liczba_wiecow,liczba_happeningow,liczba_spotkan,liczba_koncertow,liczba_poza_centrum,liczba_dzielnicowych,dzielnicowe_kronika,frekwencja_suma,frekwencja_maj1,frekwencja_walpurgis,frekwencja_npd_kontra,frekwencja_zwiazkowa,udzial_zwiazkowy,liczba_aktorow,aktorzy_nowi,aktorzy_znikajacy,wydarzenia_nowe,wydarzenia_znikajace,miejsce_wiecu,miejsce_wiecu_zmienione,trasa_glowna_zmieniona,notatka,frekwencja_anarchi,frekwencja_fest_eu,frekwencja_lew_alt,frekwencja_opzz,frekwencja_parada,frekwencja_pps,frekwencja_prawica
2009,9,demonstracja:3;kontra:2;upamiętnienie:3;wiec:1,3,3,0,TRUE,3,0,0,FALSE,1,2,2,1,0,0,0,4,0,0,1703,1697,,6,1357,0.797,8,Falanga;ONR,,2009_PL_kontra_Falanga;2009_PL_kontra_ONR,,Sejm RP,FALSE,TRUE,obsidian://open?vault=Wszystko&file=2009_PL,40,,300,1357,,,6
2010,4,demonstracja:2;upamiętnienie:2,2,2,0,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,1,0,0,590,590,,,440,0.746,4,,Anarchiści;Falanga;Lewica_radykalna;ONR,,2009_PL_demonstracja_Anarchisci;2009_PL_kontra_Falanga;2009_PL_kontra_ONR;2009_PL_wiec_Lewica-radykalna,Sejm RP,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2010_PL,,,150,440,,,
2011,7,demonstracja:1;upamiętnienie:4;wiec:2,1,4,0,FALSE,1,0,0,FALSE,1,0,0,2,0,0,0,1,0,0,283,283,,,133,0.47,5,KSS Ikonowicza;Marsz Pustych Garnkow,Nowa Lewica,2011_PL_demonstracja_KSS-Ikonowicza;2011_PL_upamiętnienie_Marsz-Pustych-Garnkow-Wreath-laying-at-the-historic-PPS-headqu;2011_PL_wiec_OPZZ,2010_PL_demonstracja_Nowa-Lewica;2010_PL_demonstracja_OPZZ,Wiec pod OPZZ,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2011_PL,,,150,133,,,
2012,7,demonstracja:4;spotkanie:1;upamiętnienie:2,4,2,0,FALSE,4,0,0,FALSE,1,1,0,0,0,1,0,2,0,0,12400,11900,,500,11750,0.948,7,Anarchiści;Autonomiczni nacjonaliści;Ruch Palikota,Marsz Pustych Garnkow,2012_PL_demonstracja_Anarchisci;2012_PL_demonstracja_Autonomiczni-nacjonalisci;2012_PL_demonstracja_OPZZ;2012_PL_spotkanie_Ruch-Palikota-Kongres-za-ozycielski-partii-Palikota-Ko,2011_PL_upamiętnienie_Marsz-Pustych-Garnkow-Wreath-laying-at-the-historic-PPS-headqu;2011_PL_wiec_OPZZ,Park Rydza-Śmigłego,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2012_PL,150,,,11750,,,500
2013,7,demonstracja:3;festyn:1;upamiętnienie:3,3,3,1,FALSE,3,0,0,FALSE,1,1,0,0,0,0,0,3,0,0,20700,20200,,500,20000,0.966,6,Prezydent,Anarchiści;Ruch Palikota,2013_PL_festyn_Prezydent,2012_PL_demonstracja_Anarchisci;2012_PL_spotkanie_Ruch-Palikota-Kongres-za-ozycielski-partii-Palikota-Ko,Park Rydza-Śmigłego,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2013_PL,,,200,20000,,,500
2014,9,demonstracja:3;festyn:1;happening:2;upamiętnienie:3,3,3,1,FALSE,3,0,0,FALSE,1,2,0,0,2,0,0,3,0,0,8183,7733,,450,7333,0.896,8,RSS Ikonowicza;Ruch Narodowy;Zieloni,KSS Ikonowicza,2014_PL_demonstracja_RSS-Ikonowicza;2014_PL_happening_Ruch-Narodowy;2014_PL_happening_Zieloni-Partia-Zieloni-happening,2013_PL_demonstracja_KSS-Ikonowicza,Park Rydza-Śmigłego,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2014_PL,,,400,7333,,,450
2015,6,demonstracja:3;festyn:1;upamiętnienie:2,3,2,1,FALSE,3,0,0,FALSE,0,1,0,0,0,0,0,2,0,0,30700,30450,,250,,0.0,6,Szturmowcy;Zmiana,Autonomiczni nacjonaliści;OPZZ;Ruch Narodowy;Zieloni,2015_PL_demonstracja_Szturmowcy;2015_PL_demonstracja_Zmiana,2014_PL_demonstracja_Autonomiczni-nacjonalisci;2014_PL_demonstracja_OPZZ;2014_PL_happening_Ruch-Narodowy;2014_PL_happening_Zieloni-Partia-Zieloni-happening,,,TRUE,obsidian://open?vault=Wszystko&file=2015_PL,,30000,450,,,,250
2016,6,demonstracja:3;festyn:1;upamiętnienie:2,3,2,1,FALSE,3,0,0,FALSE,1,1,0,0,0,0,0,2,0,0,4217,4067,,150,3667,0.87,6,Muzeum Łazienki Królewskie;OPZZ;RSS / KPP / Partia Socjaliści / WSL,Prezydent;RSS Ikonowicza;Zmiana,2016_PL_demonstracja_OPZZ;2016_PL_demonstracja_RSS-KPP-Partia-Socjalisci-WSL;2016_PL_festyn_Muzeum-azienki-Krolewskie,2015_PL_demonstracja_RSS-Ikonowicza;2015_PL_demonstracja_Zmiana;2015_PL_festyn_Prezydent,Sejm RP,,TRUE,obsidian://open?vault=Wszystko&file=2016_PL,,,400,3667,,,150
2017,7,demonstracja:2;festyn:2;upamiętnienie:3,2,3,2,FALSE,2,0,0,FALSE,1,0,0,0,0,0,0,2,0,0,1050,1050,,,650,0.619,5,,Szturmowcy,2017_PL_festyn_OPZZ,2016_PL_demonstracja_Szturmowcy,Krakowskie Przedmieście,TRUE,TRUE,obsidian://open?vault=Wszystko&file=2017_PL,,,400,650,,,
2018,9,demonstracja:3;festyn:2;kontra:1;upamiętnienie:2;wiec:1,3,2,2,TRUE,3,0,0,FALSE,1,2,1,1,0,0,0,2,0,0,1225,1175,,50,775,0.633,8,Feministki;Obywatele RP;Szturmowcy,,2018_PL_demonstracja_Szturmowcy;2018_PL_kontra_Obywatele-RP;2018_PL_wiec_Feministki,,Krakowskie Przedmieście,FALSE,FALSE,obsidian://open?vault=Wszystko&file=2018_PL,,,400,775,,,50
2019,13,demonstracja:3;festyn:4;upamiętnienie:6,3,6,4,FALSE,2,0,0,FALSE,0,2,0,0,0,0,0,2,0,0,3350,350,,3000,,0.0,11,KORWiN;Lewica radykalna;Lewica_radykalna;Miasto;PPS_OPZZ_SLD;Razem;SLD;SLD/OPZZ;UP_OPZZ,Feministki;OPZZ;Obywatele RP;RSS / KPP / Partia Socjaliści / WSL;Szturmowcy;Unia Pracy,2019_PL_demonstracja_KORWiN;2019_PL_demonstracja_Lewica-radykalna;2019_PL_festyn_Miasto-nowe-miasto;2019_PL_festyn_SLD-OPZZ;2019_PL_upamiętnienie_Lewica-radykalna-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2019_PL_upamiętnienie_PPS-OPZZ-SLD-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2019_PL_upamiętnienie_Razem-Kamien-Pamiatkowy-na-Placu-Grzybowskim;2019_PL_upamiętnienie_SLD-Pomnik-Ignacego-Daszynskiego-w-Warszawie;2019_PL_upamiętnienie_UP-OPZZ-Brama-Stracen,2018_PL_demonstracja_OPZZ;2018_PL_demonstracja_RSS-KPP-Partia-Socjalisci-WSL;2018_PL_demonstracja_Szturmowcy;2018_PL_festyn_OPZZ;2018_PL_kontra_Obywatele-RP;2018_PL_upamiętnienie_Unia-Pracy-Brama-Stracen;2018_PL_wiec_Feministki,,,TRUE,obsidian://open?vault=Wszystko&file=2019_PL,,,350,,,,3000
